,Store Number,City,Sales,Ave. Sale Price,County Number,Zip Code,Ave. Margin per Liter,Volume Sold(L),Ave. Volume sold(L),Margin,Q1 Sales
1081,4890,URBANDALE,2874.02,92.7103225806,77,50323,1.08901241679,200.3,6.46129032258,4.03129032258,992.64
1082,4891,SIBLEY,19374.02,95.4385221675,72,51249,2.24941617282,1423.05,7.01009852217,5.30384236453,5302.66
1083,4892,DAVENPORT,13617.19,49.6977737226,82,52802,3.14877279005,769.36,2.80788321168,3.94602189781,3957.7
1084,4893,WEST DES MOINES,5457.69,82.6922727273,77,50265,0.697009379509,418.35,6.33863636364,3.44121212121,1416.45
1085,4895,CEDAR RAPIDS,10318.85,75.3200729927,57,52402,3.91277668014,564.91,4.12343065693,4.9796350365,2086.32
1086,4896,HARPERS FERRY,3221.71,74.9234883721,3,52146,2.96715688203,222.86,5.18279069767,5.17395348837,60.12
1087,4897,BURLINGTON,22729.56,134.49443787,29,52601,0.752763591466,1321.75,7.82100591716,4.00023668639,3934.74
1088,4898,BURLINGTON,7751.86,107.664722222,29,52601,2.54566165123,356.1,4.94583333333,3.73611111111,2246.45
1089,4899,GRAETTINGER,5277.36,68.5371428571,74,51342,1.75473716759,454.75,5.90584415584,4.72428571429,982.62
1090,4900,WATERLOO,14796.63,76.2712886598,7,50703,2.30929404239,801.63,4.13211340206,3.21567010309,3186.4
1091,4901,POLK CITY,20201.87,134.679133333,77,50226,1.87611571429,1716.0,11.44,5.18373333333,4730.81
1092,4902,WATERLOO,10655.42,88.7951666667,7,50703,1.71270926972,570.93,4.75775,3.38825,1582.45
1093,4904,LARCHWOOD,6719.35,48.690942029,60,51241,3.58479555244,620.55,4.49673913043,4.55702898551,1625.67
1094,4905,ROCKWELL CITY,2906.29,46.1315873016,13,50579,0.9490670194,325.62,5.16857142857,3.28428571429,456.41
1095,4907,CEDAR FALLS,7768.07,80.9173958333,7,50613,1.50129518858,630.28,6.56541666667,3.90916666667,2413.94
1096,4908,ELKADER,5887.23,72.6818518519,22,52043,3.00567157385,549.63,6.78555555556,4.93888888889,1438.6
1097,4909,ROCK VALLEY,9541.14,125.541315789,84,51247,0.892715643275,754.9,9.93289473684,4.31828947368,1514.85
1098,4910,WATERLOO,13091.73,113.841130435,7,50702,2.13763336784,708.82,6.16365217391,4.46504347826,4747.89
1099,4911,PRINCETON,2199.21,64.6826470588,82,52768,1.48592787115,221.29,6.50852941176,3.24764705882,313.78
1100,4912,ELDRIDGE,3134.61,104.487,82,52748,0.885339616402,219.9,7.33,3.64233333333,296.32
1101,4914,CEDAR FALLS,9152.07,99.4790217391,7,50613,0.899696018806,755.55,8.2125,3.38108695652,1619.94
1102,4915,BETTENDORF,1359.54,79.9729411765,82,52722,1.07963441165,84.31,4.95941176471,3.85411764706,257.04
1103,4917,PERRY,2218.52,50.4209090909,25,50220,1.65306989194,200.09,4.5475,2.9725,622.3
1104,4919,ALTOONA,3954.84,104.074736842,77,50009,0.914536068303,285.51,7.51342105263,3.94947368421,587.89
